t,i1,i2,i3,sum
322,-0.186804,3.6445413332816,-3.4577373332816,8.88178419700125e-16
322.25,-0.186804,3.92306203134191,-3.7362580313419,1.33226762955019e-15
322.5,-0.186804,4.13195255488714,-3.94514855488713,1.33226762955019e-15
322.75,-0.186804,4.20158272940221,-4.01477872940221,8.88178419700125e-16
323,-0.2401099,4.25170167694824,-4.01159177694823,8.88178419700125e-16
323.25,-0.186804,4.27121299051983,-4.08440899051983,1.77635683940025e-15
323.5,-0.186804,4.33060821700536,-4.14380421700536,1.77635683940025e-15
323.75,-0.186804,4.27121299051983,-4.08440899051983,1.77635683940025e-15
324,-0.186804,4.29690727142979,-4.11010327142979,8.88178419700125e-16
324.25,-0.186804,4.29718413975138,-4.11038013975138,8.88178419700125e-16
324.5,-0.186804,4.27121299051983,-4.08440899051983,1.77635683940025e-15
324.75,-0.1179006,4.23676129051983,-4.11886069051983,2.66453525910038e-15
325,-0.1545616,4.25509179051983,-4.10053019051983,1.77635683940025e-15
325.25,-0.186804,4.34084316503491,-4.1540391650349,8.88178419700125e-16
325.5,1.1733581,2.54090102809455,-3.71425912809455,0
325.75,2.4664623,0.994934694290068,-3.46139699429007,0
326,3.4661019,0.0378546935274495,-3.50395659352745,-4.44089209850063e-16
326.25,3.6724924,0.0918844503286265,-3.76437685032863,0
326.5,3.9136984,0.0624261207448387,-3.97612452074484,0
326.75,3.9303433,0.0541036707448386,-3.98444697074484,-8.88178419700125e-16
327,4.0745025,0.0516542452599151,-4.12615674525992,0
327.25,4.0745025,0.0516542452599151,-4.12615674525992,0
327.5,4.0745025,0.0516542452599151,-4.12615674525992,0
327.75,4.0745025,0.0516542452599151,-4.12615674525992,0
328,4.0745025,0.0516542452599151,-4.12615674525992,0
328.25,4.094199,0.0418059952599155,-4.13600499525992,0
328.5,4.0734552,0.0512709068545321,-4.12472610685453,-8.88178419700125e-16
328.75,4.0745025,0.000895630318705098,-4.07539813031871,-8.88178419700125e-16
329,4.0745025,0.0188602880897286,-4.09336278808973,0
329.25,3.7528944,-0.429042661377476,-3.32385173862253,-8.88178419700125e-16
329.5,3.4312864,-2.55120538078346,-0.880081019216544,-8.88178419700125e-16
329.75,3.2704824,-3.44562591059707,0.175143510597066,-1.33226762955019e-15
330,3.7077865,-3.87316857074484,0.165382070744836,-1.11022302462516e-15
330.25,3.9136984,-4.1027839403423,0.189085540342304,-1.55431223447522e-15
330.5,3.9941005,-4.16094964811333,0.166849148113327,-1.33226762955019e-15
330.75,4.0745025,-4.26541709429007,0.190914594290065,-1.77635683940025e-15
331,4.0745025,-4.29375422492476,0.219251724924755,-1.33226762955019e-15
331.25,4.1429273,-4.29962949429007,0.156702194290065,-1.33226762955019e-15
331.5,4.0745025,-4.26541709429007,0.190914594290065,-1.77635683940025e-15
331.75,4.0745025,-4.23986033821423,0.165357838214224,-1.77635683940025e-15
332,4.0242483,-4.24028999429007,0.216041694290065,-1.33226762955019e-15
332.25,4.0745025,-4.25727299139288,0.182770491392876,-1.33226762955019e-15
332.5,4.0631627,-4.25974719429007,0.196584494290065,-1.77635683940025e-15
332.75,4.106586,-4.28145884429007,0.174872844290065,-1.33226762955019e-15
333,2.3860603,-3.81509673728133,1.42903643728133,-1.77635683940025e-15
333.25,0.784851,-3.58949814117297,2.80464714117297,-1.33226762955019e-15
333.5,-0.1203149,-3.63024223231175,3.75055713231175,-4.44089209850063e-16
333.75,-0.186804,-3.87551838037206,4.06232238037206,-1.77635683940025e-15
334,-0.1618024,-4.09690979051983,4.25871219051983,-1.77635683940025e-15
334.25,-0.2629482,-4.1159670650349,4.3789152650349,-8.88178419700125e-16
334.5,-0.186804,-4.22366933954998,4.41047333954998,-1.77635683940025e-15
334.75,-0.186804,-4.22366933954998,4.41047333954998,-1.77635683940025e-15
335,-0.186804,-4.29329951406506,4.48010351406506,-8.88178419700125e-16
335.25,-0.186804,-4.29329951406506,4.48010351406506,-8.88178419700125e-16
335.5,-0.186804,-4.27679384929179,4.46359784929179,-8.88178419700125e-16
335.75,-0.2274032,-4.30747023660935,4.53487343660935,-1.77635683940025e-15
336,-0.186804,-4.29329951406506,4.48010351406506,-8.88178419700125e-16
336.25,-0.186804,-4.36216031161141,4.54896431161141,-1.77635683940025e-15
336.5,-0.186804,-4.34419565384039,4.53099965384039,-1.77635683940025e-15
336.75,-0.83872,-3.40653282083544,4.24525282083544,-8.88178419700125e-16
337,-2.6792663,-1.23668356686545,3.91594986686545,0
337.25,-3.56715,-0.0238119636618692,3.59096196366187,4.44089209850063e-16
337.5,-4.0461005,0.00377492925516121,4.04232557074484,8.88178419700125e-16
337.75,-4.2069045,0.0534738172173319,4.15343068278267,8.88178419700125e-16
338,-4.3677085,0.025318580225008,4.34238991977499,0
338.25,-4.4420758,0.0572761133233306,4.38479968667667,8.88178419700125e-16
338.5,-4.4481105,-0.0041105942900681,4.45222109429007,0
338.75,-4.4809903,0.0123293057099318,4.46866099429007,0
339,-4.4602465,0.00195740570993186,4.45828909429007,0
339.25,-4.5199047,0.0392410791806275,4.48066362081937,0
339.5,-4.5285125,0.0172986070757535,4.51121389292425,8.88178419700125e-16
339.75,-4.5285125,0.0360904057099316,4.49242209429007,0
340,-4.2873065,0.54215906294816,3.74514743705184,8.88178419700125e-16
340.25,-3.9656985,1.84358890096985,2.12210959903015,8.88178419700125e-16
340.5,-3.6121657,3.33794686253676,0.274218837463239,1.33226762955019e-15
340.75,-3.8852964,3.68340273608199,0.201893663918011,1.55431223447522e-15
341,-4.2069045,4.04704405186239,0.159860448137613,1.77635683940025e-15
341.25,-4.3010605,4.10017539622976,0.200885103770241,8.88178419700125e-16
341.5,-4.3677085,4.20312957074484,0.164578929255164,1.33226762955019e-15
341.75,-4.4481105,4.31296074525991,0.135149754740088,1.77635683940025e-15
342,-4.5285125,4.35316174525991,0.175350754740089,2.22044604925031e-15
342.25,-4.5121854,4.34499819525991,0.167187204740089,2.22044604925031e-15
342.5,-4.5285125,4.35316174525991,0.175350754740089,2.22044604925031e-15
342.75,-4.5059252,4.34186809525991,0.164057104740089,2.22044604925031e-15
343,-4.5285125,4.42119531534057,0.107317184659429,1.33226762955019e-15
343.25,-4.4151111,4.31282909859652,0.102282001403482,1.77635683940025e-15
343.5,-2.1968542,3.81400425249814,-1.61715005249814,6.66133814775094e-16
343.75,-0.8700485,3.5683824495886,-2.6983339495886,8.88178419700125e-16
344,-0.186804,3.57491115876652,-3.38810715876652,8.88178419700125e-16
344.25,-0.2082774,3.81313480561484,-3.60485740561484,8.88178419700125e-16
344.5,-0.1486191,3.93703867478287,-3.78841957478287,1.33226762955019e-15
