t,id,iq,omega,gamma
-209.2500E-03,-191.1560E-03,-241.2060E-03,-4.1809045E+00,-2.0296482E+00
-209.0000E-03,-242.1103E-03,-321.6080E-03,-4.1005025E+00,-2.1904522E+00
-208.7500E-03,-232.6435E-03,-275.7685E-03,-4.1809045E+00,-2.5924623E+00
-208.5000E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,-2.7394476E+00
-208.2500E-03,-113.3271E-03,-321.6080E-03,-4.1739794E+00,-2.9875473E+00
-208.0000E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,-3.0748743E+00
-207.7500E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,-3.5252970E+00
-207.5000E-03,-106.4020E-03,-321.6080E-03,-4.1005025E+00,-3.7180904E+00
-207.2500E-03,-35.4982E-03,-312.1099E-03,-4.1809045E+00,-3.8788944E+00
-207.0000E-03,-76.1601E-03,-371.7681E-03,-4.1005025E+00,-4.1201005E+00
-206.7500E-03,-186.8040E-03,-131.3877E-03,-4.1809045E+00,-4.4417085E+00
-206.5000E-03,-195.4765E-03,-241.2060E-03,-4.2526340E+00,-4.6025125E+00
-206.2500E-03,-267.2060E-03,-389.9388E-03,-4.1809045E+00,-5.0045226E+00
-206.0000E-03,-267.2060E-03,-321.6080E-03,-4.1809045E+00,-5.1981416E+00
-205.7500E-03,-240.3629E-03,-321.6080E-03,-4.2344633E+00,-5.4065326E+00
-205.5000E-03,-186.8040E-03,-321.6080E-03,-4.1066019E+00,-5.5673366E+00
-205.2500E-03,-172.1596E-03,-321.6080E-03,-4.1809045E+00,-5.9035891E+00
-205.0000E-03,-106.4020E-03,-321.6080E-03,-4.1358906E+00,-6.1301507E+00
-204.7500E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,-6.3713567E+00
-204.5000E-03,-102.8757E-03,-321.6080E-03,-4.2577802E+00,-6.4552850E+00
-204.2500E-03,-26.0000E-03,-321.6080E-03,-4.1005025E+00,-6.8537688E+00
-204.0000E-03,-267.2060E-03,-118.3633E-03,-4.1384638E+00,-7.0949748E+00
-203.7500E-03,-267.2060E-03,-241.2060E-03,-4.1005025E+00,-7.2557788E+00
-203.5000E-03,-187.7572E-03,-321.6080E-03,-4.1799513E+00,-7.4175360E+00
-203.2500E-03,-206.5946E-03,-402.0100E-03,-4.1005025E+00,-7.8185929E+00
-203.0000E-03,-146.2696E-03,-402.0100E-03,-4.1005025E+00,-7.9793969E+00
-202.7500E-03,-186.8040E-03,-382.8862E-03,-4.1196263E+00,+7.5573147E+00
-202.5000E-03,-186.8040E-03,-323.2280E-03,-4.2613065E+00,+7.3773869E+00
-202.2500E-03,-106.4020E-03,-379.6463E-03,-4.1585407E+00,+7.2165828E+00
-202.0000E-03,-106.4020E-03,-358.9025E-03,-4.2613065E+00,+7.0557788E+00
-201.7500E-03,-42.5507E-03,-321.6080E-03,-4.1005025E+00,+6.6537688E+00
-201.5000E-03,-26.0000E-03,-317.4150E-03,-4.1809045E+00,+6.4125627E+00
-201.2500E-03,-186.8040E-03,-160.8040E-03,-4.2613065E+00,+6.2766956E+00
-201.0000E-03,-267.2060E-03,-241.2060E-03,-4.1005025E+00,+6.0909547E+00
-200.7500E-03,-267.2060E-03,-321.6080E-03,-4.1809045E+00,+5.6889447E+00
-200.5000E-03,-260.4398E-03,-395.2439E-03,-4.1005025E+00,+5.6017765E+00
-200.2500E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,+5.3673366E+00
-200.0000E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,+5.1261306E+00
-199.7500E-03,-106.4020E-03,-402.0100E-03,-4.1005025E+00,+4.8045226E+00
-199.5000E-03,-177.4647E-03,-392.6707E-03,-4.1715652E+00,+4.5633165E+00
-199.2500E-03,-56.0831E-03,-371.9270E-03,-4.1005025E+00,+4.2417085E+00
-199.0000E-03,-55.5751E-03,-321.6080E-03,-4.1809045E+00,+4.0809045E+00
-198.7500E-03,-26.0000E-03,-330.4394E-03,-4.2613065E+00,+3.8485298E+00
-198.5000E-03,-267.2060E-03,-229.2936E-03,-4.1809045E+00,+3.5984924E+00
-198.2500E-03,-267.2060E-03,-273.8622E-03,-4.1331587E+00,+3.2768844E+00
-198.0000E-03,-267.2060E-03,-321.6080E-03,-4.2079065E+00,+3.1160804E+00
-197.7500E-03,-193.0623E-03,-321.6080E-03,-4.1005025E+00,+2.9490181E+00
-197.5000E-03,-186.8040E-03,-321.6080E-03,-4.2613065E+00,+2.7655012E+00
