t,id,iq,omega,uzk
-184.7500E-03,-133.5943E-03,+160.8040E-03,+3.7788944E+00,+328.6683493E+00
-184.5000E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-184.2500E-03,-198.5262E-03,+0.0E+00,+3.8475743E+00,+324.6482487E+00
-184.0000E-03,-267.2060E-03,-71.3804E-03,+3.9306769E+00,+325.0993284E+00
-183.7500E-03,-267.2060E-03,+50.6366E-03,+3.8592964E+00,+327.1800805E+00
-183.5000E-03,-267.2060E-03,+50.5092E-03,+3.7788944E+00,+324.6482487E+00
-183.2500E-03,-267.2060E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-183.0000E-03,-267.2060E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-182.7500E-03,-267.2060E-03,+80.4020E-03,+3.8269580E+00,+324.6482487E+00
-182.5000E-03,-267.2060E-03,+27.3197E-03,+3.8062142E+00,+328.6683493E+00
-182.2500E-03,-260.6301E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-182.0000E-03,-186.8040E-03,+0.0E+00,+3.8592964E+00,+325.3566399E+00
-181.7500E-03,-186.8040E-03,-34.9116E-03,+3.7788944E+00,+324.6482487E+00
-181.5000E-03,-267.2060E-03,-55.6554E-03,+3.8592964E+00,+328.6683493E+00
-181.2500E-03,-343.6052E-03,-80.4020E-03,+3.7748916E+00,+324.6482487E+00
-181.0000E-03,-250.4651E-03,+0.0E+00,+3.8425555E+00,+324.6482487E+00
-180.7500E-03,-224.2887E-03,+0.0E+00,+3.8592964E+00,+324.6482487E+00
-180.5000E-03,-245.0325E-03,+80.4020E-03,+3.7567209E+00,+327.5596739E+00
-180.2500E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-180.0000E-03,-206.1181E-03,+19.3141E-03,+3.7788944E+00,+327.7026465E+00
-179.7500E-03,-226.8619E-03,+80.4020E-03,+3.8592964E+00,+326.6511405E+00
-179.5000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+327.6883296E+00
-179.2500E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+328.6683493E+00
-179.0000E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+327.5739907E+00
-178.7500E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+326.5368016E+00
-178.5000E-03,-250.1788E-03,+0.0E+00,+3.7959217E+00,+327.8169854E+00
-178.2500E-03,-267.2060E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-178.0000E-03,-242.7457E-03,+80.4020E-03,+3.8033547E+00,+325.8712630E+00
-177.7500E-03,-186.8040E-03,+160.8040E-03,+3.8140924E+00,+326.9084521E+00
-177.5000E-03,-186.8040E-03,+160.8040E-03,+3.7129466E+00,+324.6482487E+00
-177.2500E-03,-186.8040E-03,+160.8040E-03,+3.8592964E+00,+324.6482487E+00
-177.0000E-03,-213.8374E-03,+160.8040E-03,+3.7788944E+00,+327.3166792E+00
-176.7500E-03,-186.8040E-03,+208.5812E-03,+3.8115193E+00,+326.2794901E+00
-176.5000E-03,-186.8040E-03,+92.2831E-03,+3.7788944E+00,+324.6482487E+00
-176.2500E-03,-106.4020E-03,+89.2647E-03,+3.7788944E+00,+328.2252125E+00
-176.0000E-03,-157.1975E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
